Feb08-03:10:10
----------------------------------------------------------------------------------------------------
[citeseer]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.001 schedule=True ema=0.999 weight_decay=0.003cat=False skip=Falseepochs=30000 reduce=False eps=1e-05
nhid=16 layers=2 linears=2
----------------------------------------------------------------------------------------------------
001 | 1.41s | train acc: 1.983e-01 | val acc: 1.912e-01 | val graph: 0.000e+00 | test node: 1.509e-01 | test graph: 0.000e+00
201 | 0.67s | train acc: 1.632e-01 | val acc: 1.504e-01 | val graph: 0.000e+00 | test node: 1.549e-01 | test graph: 0.000e+00
401 | 0.67s | train acc: 1.715e-01 | val acc: 1.393e-01 | val graph: 0.000e+00 | test node: 1.966e-01 | test graph: 0.000e+00
601 | 0.68s | train acc: 2.128e-01 | val acc: 1.785e-01 | val graph: 0.000e+00 | test node: 2.116e-01 | test graph: 0.000e+00
801 | 0.57s | train acc: 2.045e-01 | val acc: 1.610e-01 | val graph: 0.000e+00 | test node: 2.058e-01 | test graph: 0.000e+00
1001 | 0.56s | train acc: 2.045e-01 | val acc: 1.610e-01 | val graph: 0.000e+00 | test node: 2.058e-01 | test graph: 0.000e+00
1201 | 0.66s | train acc: 2.045e-01 | val acc: 1.568e-01 | val graph: 0.000e+00 | test node: 2.058e-01 | test graph: 0.000e+00
1401 | 0.68s | train acc: 2.107e-01 | val acc: 1.573e-01 | val graph: 0.000e+00 | test node: 2.003e-01 | test graph: 0.000e+00
1601 | 0.68s | train acc: 3.326e-01 | val acc: 3.289e-01 | val graph: 0.000e+00 | test node: 2.609e-01 | test graph: 0.000e+00
1801 | 0.69s | train acc: 2.045e-01 | val acc: 1.610e-01 | val graph: 0.000e+00 | test node: 2.090e-01 | test graph: 0.000e+00
2001 | 0.68s | train acc: 2.045e-01 | val acc: 1.806e-01 | val graph: 0.000e+00 | test node: 2.063e-01 | test graph: 0.000e+00
2201 | 0.68s | train acc: 2.045e-01 | val acc: 1.981e-01 | val graph: 0.000e+00 | test node: 1.923e-01 | test graph: 0.000e+00
2401 | 0.69s | train acc: 2.045e-01 | val acc: 1.711e-01 | val graph: 0.000e+00 | test node: 2.066e-01 | test graph: 0.000e+00
2601 | 0.66s | train acc: 1.157e-01 | val acc: 1.944e-01 | val graph: 0.000e+00 | test node: 1.124e-01 | test graph: 0.000e+00
2801 | 0.67s | train acc: 6.612e-02 | val acc: 1.833e-01 | val graph: 0.000e+00 | test node: 1.066e-01 | test graph: 0.000e+00
3001 | 0.67s | train acc: 6.612e-02 | val acc: 1.833e-01 | val graph: 0.000e+00 | test node: 1.079e-01 | test graph: 0.000e+00
3201 | 0.68s | train acc: 2.355e-01 | val acc: 3.231e-01 | val graph: 0.000e+00 | test node: 2.124e-01 | test graph: 0.000e+00
3401 | 0.67s | train acc: 7.851e-02 | val acc: 1.849e-01 | val graph: 0.000e+00 | test node: 1.018e-01 | test graph: 0.000e+00
3601 | 0.67s | train acc: 6.612e-02 | val acc: 1.849e-01 | val graph: 0.000e+00 | test node: 1.053e-01 | test graph: 0.000e+00
3801 | 0.68s | train acc: 6.198e-02 | val acc: 1.849e-01 | val graph: 0.000e+00 | test node: 1.018e-01 | test graph: 0.000e+00
4001 | 0.68s | train acc: 1.488e-01 | val acc: 2.082e-01 | val graph: 0.000e+00 | test node: 1.113e-01 | test graph: 0.000e+00
4201 | 0.68s | train acc: 2.707e-01 | val acc: 4.682e-01 | val graph: 0.000e+00 | test node: 3.018e-01 | test graph: 0.000e+00
4401 | 0.68s | train acc: 2.293e-01 | val acc: 2.214e-01 | val graph: 0.000e+00 | test node: 1.177e-01 | test graph: 0.000e+00
4601 | 0.68s | train acc: 2.397e-01 | val acc: 3.162e-01 | val graph: 0.000e+00 | test node: 2.013e-01 | test graph: 0.000e+00
4801 | 0.68s | train acc: 1.674e-01 | val acc: 2.394e-01 | val graph: 0.000e+00 | test node: 1.844e-01 | test graph: 0.000e+00
5001 | 0.67s | train acc: 2.335e-01 | val acc: 3.099e-01 | val graph: 0.000e+00 | test node: 2.179e-01 | test graph: 0.000e+00
5201 | 0.67s | train acc: 2.293e-01 | val acc: 3.294e-01 | val graph: 0.000e+00 | test node: 2.264e-01 | test graph: 0.000e+00
5401 | 0.66s | train acc: 2.438e-01 | val acc: 4.041e-01 | val graph: 0.000e+00 | test node: 2.683e-01 | test graph: 0.000e+00
5601 | 0.58s | train acc: 2.975e-01 | val acc: 5.387e-01 | val graph: 0.000e+00 | test node: 3.222e-01 | test graph: 0.000e+00
5801 | 0.56s | train acc: 3.781e-01 | val acc: 5.980e-01 | val graph: 0.000e+00 | test node: 4.129e-01 | test graph: 0.000e+00
6001 | 0.69s | train acc: 3.719e-01 | val acc: 5.726e-01 | val graph: 0.000e+00 | test node: 3.649e-01 | test graph: 0.000e+00
6201 | 0.68s | train acc: 2.397e-01 | val acc: 3.379e-01 | val graph: 0.000e+00 | test node: 2.361e-01 | test graph: 0.000e+00
6401 | 0.67s | train acc: 3.285e-01 | val acc: 6.171e-01 | val graph: 0.000e+00 | test node: 4.174e-01 | test graph: 0.000e+00
6601 | 0.69s | train acc: 3.037e-01 | val acc: 5.498e-01 | val graph: 0.000e+00 | test node: 3.652e-01 | test graph: 0.000e+00
6801 | 0.66s | train acc: 2.645e-01 | val acc: 5.434e-01 | val graph: 0.000e+00 | test node: 3.575e-01 | test graph: 0.000e+00
7001 | 0.68s | train acc: 2.335e-01 | val acc: 3.231e-01 | val graph: 0.000e+00 | test node: 2.179e-01 | test graph: 0.000e+00
7201 | 0.68s | train acc: 3.182e-01 | val acc: 5.784e-01 | val graph: 0.000e+00 | test node: 3.802e-01 | test graph: 0.000e+00
7401 | 0.68s | train acc: 3.843e-01 | val acc: 5.900e-01 | val graph: 0.000e+00 | test node: 3.855e-01 | test graph: 0.000e+00
7601 | 0.69s | train acc: 3.884e-01 | val acc: 6.462e-01 | val graph: 0.000e+00 | test node: 4.367e-01 | test graph: 0.000e+00
7801 | 0.70s | train acc: 4.711e-01 | val acc: 6.239e-01 | val graph: 0.000e+00 | test node: 4.082e-01 | test graph: 0.000e+00
8001 | 0.69s | train acc: 4.793e-01 | val acc: 6.467e-01 | val graph: 0.000e+00 | test node: 4.106e-01 | test graph: 0.000e+00
8201 | 0.67s | train acc: 4.938e-01 | val acc: 6.806e-01 | val graph: 0.000e+00 | test node: 4.472e-01 | test graph: 0.000e+00
8401 | 0.67s | train acc: 5.000e-01 | val acc: 7.304e-01 | val graph: 0.000e+00 | test node: 5.332e-01 | test graph: 0.000e+00
8601 | 0.69s | train acc: 5.021e-01 | val acc: 6.907e-01 | val graph: 0.000e+00 | test node: 4.805e-01 | test graph: 0.000e+00
8801 | 0.68s | train acc: 5.475e-01 | val acc: 7.357e-01 | val graph: 0.000e+00 | test node: 5.591e-01 | test graph: 0.000e+00
9001 | 0.68s | train acc: 5.434e-01 | val acc: 7.468e-01 | val graph: 0.000e+00 | test node: 6.296e-01 | test graph: 0.000e+00
9201 | 0.69s | train acc: 6.240e-01 | val acc: 8.067e-01 | val graph: 0.000e+00 | test node: 7.185e-01 | test graph: 0.000e+00
9401 | 0.68s | train acc: 6.054e-01 | val acc: 8.088e-01 | val graph: 0.000e+00 | test node: 7.327e-01 | test graph: 0.000e+00
9601 | 0.67s | train acc: 6.281e-01 | val acc: 8.088e-01 | val graph: 0.000e+00 | test node: 7.496e-01 | test graph: 0.000e+00
9801 | 0.68s | train acc: 6.302e-01 | val acc: 8.061e-01 | val graph: 0.000e+00 | test node: 7.391e-01 | test graph: 0.000e+00
10001 | 0.67s | train acc: 6.343e-01 | val acc: 8.003e-01 | val graph: 0.000e+00 | test node: 7.483e-01 | test graph: 0.000e+00
10201 | 0.69s | train acc: 6.343e-01 | val acc: 8.093e-01 | val graph: 0.000e+00 | test node: 7.580e-01 | test graph: 0.000e+00
10401 | 0.56s | train acc: 6.384e-01 | val acc: 8.093e-01 | val graph: 0.000e+00 | test node: 7.591e-01 | test graph: 0.000e+00
10601 | 0.57s | train acc: 6.384e-01 | val acc: 8.104e-01 | val graph: 0.000e+00 | test node: 7.625e-01 | test graph: 0.000e+00
10801 | 0.67s | train acc: 6.343e-01 | val acc: 8.109e-01 | val graph: 0.000e+00 | test node: 7.607e-01 | test graph: 0.000e+00
11001 | 0.69s | train acc: 6.384e-01 | val acc: 8.083e-01 | val graph: 0.000e+00 | test node: 7.599e-01 | test graph: 0.000e+00
11201 | 0.67s | train acc: 6.302e-01 | val acc: 8.072e-01 | val graph: 0.000e+00 | test node: 7.602e-01 | test graph: 0.000e+00
11401 | 0.68s | train acc: 6.384e-01 | val acc: 8.093e-01 | val graph: 0.000e+00 | test node: 7.480e-01 | test graph: 0.000e+00
11601 | 0.68s | train acc: 6.384e-01 | val acc: 8.114e-01 | val graph: 0.000e+00 | test node: 7.596e-01 | test graph: 0.000e+00
11801 | 0.67s | train acc: 6.384e-01 | val acc: 8.120e-01 | val graph: 0.000e+00 | test node: 7.549e-01 | test graph: 0.000e+00
12001 | 0.67s | train acc: 6.384e-01 | val acc: 8.141e-01 | val graph: 0.000e+00 | test node: 7.559e-01 | test graph: 0.000e+00
12201 | 0.69s | train acc: 6.384e-01 | val acc: 8.072e-01 | val graph: 0.000e+00 | test node: 7.652e-01 | test graph: 0.000e+00
12401 | 0.68s | train acc: 6.384e-01 | val acc: 8.093e-01 | val graph: 0.000e+00 | test node: 7.509e-01 | test graph: 0.000e+00
12601 | 0.69s | train acc: 6.219e-01 | val acc: 8.072e-01 | val graph: 0.000e+00 | test node: 7.496e-01 | test graph: 0.000e+00
