Feb13-05:33:12
----------------------------------------------------------------------------------------------------
[citeseer]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.0001 unweighted_MSE=False diffusion_steps=80 schedule=True weight_decay=0.0001 cat=False skip=False
nhid=256 layers=2 linears=2
----------------------------------------------------------------------------------------------------
001 | 2.43s | train acc: 1.198e-01 | val acc: 1.213e-01 | val graph: 9.800e-02 | test node: 1.446e-01 | test graph: 1.180e-01
201 | 0.82s | train acc: 1.198e-01 | val acc: 1.213e-01 | val graph: 9.800e-02 | test node: 1.446e-01 | test graph: 1.180e-01
401 | 0.83s | train acc: 2.107e-01 | val acc: 2.108e-01 | val graph: 5.200e-02 | test node: 1.881e-01 | test graph: 4.500e-02
601 | 0.83s | train acc: 2.128e-01 | val acc: 2.622e-01 | val graph: 7.800e-02 | test node: 2.377e-01 | test graph: 5.200e-02
801 | 0.83s | train acc: 2.583e-01 | val acc: 2.558e-01 | val graph: 8.800e-02 | test node: 2.404e-01 | test graph: 7.100e-02
1001 | 0.83s | train acc: 2.686e-01 | val acc: 2.585e-01 | val graph: 1.040e-01 | test node: 2.449e-01 | test graph: 8.200e-02
1201 | 0.83s | train acc: 2.376e-01 | val acc: 2.622e-01 | val graph: 1.100e-01 | test node: 2.438e-01 | test graph: 8.900e-02
1401 | 0.83s | train acc: 2.376e-01 | val acc: 2.617e-01 | val graph: 1.100e-01 | test node: 2.443e-01 | test graph: 9.000e-02
1601 | 0.83s | train acc: 4.132e-01 | val acc: 3.125e-01 | val graph: 1.340e-01 | test node: 2.858e-01 | test graph: 1.140e-01
1801 | 0.84s | train acc: 2.376e-01 | val acc: 2.622e-01 | val graph: 1.100e-01 | test node: 2.441e-01 | test graph: 8.900e-02
2001 | 0.84s | train acc: 2.376e-01 | val acc: 2.622e-01 | val graph: 1.100e-01 | test node: 2.441e-01 | test graph: 8.900e-02
2201 | 0.83s | train acc: 2.376e-01 | val acc: 2.622e-01 | val graph: 1.100e-01 | test node: 2.441e-01 | test graph: 8.900e-02
2401 | 0.83s | train acc: 2.376e-01 | val acc: 2.622e-01 | val graph: 1.100e-01 | test node: 2.441e-01 | test graph: 8.900e-02
2601 | 0.84s | train acc: 4.339e-01 | val acc: 3.533e-01 | val graph: 1.720e-01 | test node: 3.243e-01 | test graph: 1.390e-01
2801 | 0.84s | train acc: 2.376e-01 | val acc: 2.627e-01 | val graph: 1.100e-01 | test node: 2.446e-01 | test graph: 8.900e-02
3001 | 0.82s | train acc: 2.603e-01 | val acc: 2.733e-01 | val graph: 1.120e-01 | test node: 2.559e-01 | test graph: 9.300e-02
3201 | 0.84s | train acc: 2.376e-01 | val acc: 2.622e-01 | val graph: 1.100e-01 | test node: 2.441e-01 | test graph: 8.900e-02
3401 | 0.84s | train acc: 2.087e-01 | val acc: 2.082e-01 | val graph: 1.320e-01 | test node: 1.826e-01 | test graph: 1.050e-01
3601 | 0.84s | train acc: 2.376e-01 | val acc: 2.627e-01 | val graph: 1.100e-01 | test node: 2.443e-01 | test graph: 8.900e-02
3801 | 0.84s | train acc: 2.376e-01 | val acc: 2.622e-01 | val graph: 1.100e-01 | test node: 2.441e-01 | test graph: 8.900e-02
4001 | 0.84s | train acc: 2.376e-01 | val acc: 2.627e-01 | val graph: 1.100e-01 | test node: 2.451e-01 | test graph: 8.900e-02
4201 | 0.84s | train acc: 2.376e-01 | val acc: 2.622e-01 | val graph: 1.100e-01 | test node: 2.443e-01 | test graph: 8.900e-02
4401 | 0.84s | train acc: 2.376e-01 | val acc: 2.622e-01 | val graph: 1.100e-01 | test node: 2.441e-01 | test graph: 8.900e-02
4601 | 0.84s | train acc: 2.376e-01 | val acc: 2.622e-01 | val graph: 1.100e-01 | test node: 2.441e-01 | test graph: 8.900e-02
4801 | 0.84s | train acc: 1.880e-01 | val acc: 1.690e-01 | val graph: 1.080e-01 | test node: 1.639e-01 | test graph: 1.080e-01
5001 | 0.84s | train acc: 2.376e-01 | val acc: 2.622e-01 | val graph: 1.100e-01 | test node: 2.441e-01 | test graph: 8.900e-02
5201 | 0.84s | train acc: 2.376e-01 | val acc: 2.622e-01 | val graph: 1.100e-01 | test node: 2.441e-01 | test graph: 8.900e-02
