Feb14-04:04:00
----------------------------------------------------------------------------------------------------
[cora]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.001 unweighted_MSE=False diffusion_steps=80 schedule=True weight_decay=0.001 cat=False skip=False
nhid=256 layers=4 linears=2
----------------------------------------------------------------------------------------------------
001 | 3.30s | train acc: 1.247e-01 | val acc: 1.495e-01 | val graph: 1.180e-01 | test node: 1.594e-01 | test graph: 1.120e-01
101 | 1.27s | train acc: 1.003e-01 | val acc: 5.065e-02 | val graph: 3.400e-02 | test node: 6.515e-02 | test graph: 3.400e-02
201 | 1.28s | train acc: 1.003e-01 | val acc: 5.065e-02 | val graph: 3.400e-02 | test node: 6.515e-02 | test graph: 3.400e-02
301 | 1.27s | train acc: 2.095e-01 | val acc: 1.757e-01 | val graph: 1.040e-01 | test node: 1.846e-01 | test graph: 9.900e-02
401 | 1.27s | train acc: 2.044e-01 | val acc: 1.503e-01 | val graph: 7.800e-02 | test node: 1.600e-01 | test graph: 8.300e-02
501 | 1.28s | train acc: 1.401e-01 | val acc: 1.475e-01 | val graph: 9.400e-02 | test node: 1.653e-01 | test graph: 1.100e-01
601 | 1.29s | train acc: 1.787e-01 | val acc: 1.381e-01 | val graph: 6.400e-02 | test node: 1.403e-01 | test graph: 6.400e-02
701 | 1.28s | train acc: 1.787e-01 | val acc: 1.381e-01 | val graph: 6.400e-02 | test node: 1.403e-01 | test graph: 6.400e-02
801 | 1.28s | train acc: 1.787e-01 | val acc: 1.381e-01 | val graph: 6.400e-02 | test node: 1.403e-01 | test graph: 6.400e-02
901 | 1.27s | train acc: 1.787e-01 | val acc: 1.381e-01 | val graph: 6.400e-02 | test node: 1.403e-01 | test graph: 6.400e-02
1001 | 1.28s | train acc: 1.787e-01 | val acc: 1.381e-01 | val graph: 6.400e-02 | test node: 1.403e-01 | test graph: 6.400e-02
1101 | 1.27s | train acc: 1.272e-01 | val acc: 1.569e-01 | val graph: 1.220e-01 | test node: 1.619e-01 | test graph: 1.130e-01
1201 | 1.27s | train acc: 1.491e-01 | val acc: 1.556e-01 | val graph: 1.100e-01 | test node: 1.526e-01 | test graph: 1.070e-01
1301 | 1.27s | train acc: 1.491e-01 | val acc: 1.556e-01 | val graph: 1.100e-01 | test node: 1.526e-01 | test graph: 1.070e-01
1401 | 1.28s | train acc: 1.877e-01 | val acc: 1.638e-01 | val graph: 1.100e-01 | test node: 1.685e-01 | test graph: 1.120e-01
1501 | 1.28s | train acc: 1.298e-01 | val acc: 1.033e-01 | val graph: 6.800e-02 | test node: 1.019e-01 | test graph: 6.100e-02
