Feb08-04:27:59
----------------------------------------------------------------------------------------------------
[cora]   seed=1
----------------------------------------------------------------------------------------------------
lr=0.003 schedule=True ema=0.999 weight_decay=0.003cat=False skip=Falseepochs=30000 reduce=False eps=1e-05
nhid=16 layers=2 linears=2
----------------------------------------------------------------------------------------------------
001 | 1.35s | train acc: 1.375e-01 | val acc: 1.548e-01 | val graph: 7.600e-02 | test node: 1.524e-01 | test graph: 7.000e-02
201 | 0.65s | train acc: 9.807e-01 | val acc: 8.301e-01 | val graph: 5.840e-01 | test node: 8.262e-01 | test graph: 5.670e-01
401 | 0.65s | train acc: 9.884e-01 | val acc: 8.211e-01 | val graph: 5.540e-01 | test node: 8.166e-01 | test graph: 5.540e-01
601 | 0.65s | train acc: 9.897e-01 | val acc: 8.137e-01 | val graph: 5.420e-01 | test node: 8.115e-01 | test graph: 5.420e-01
801 | 0.67s | train acc: 9.884e-01 | val acc: 8.182e-01 | val graph: 5.500e-01 | test node: 8.122e-01 | test graph: 5.420e-01
1001 | 0.66s | train acc: 9.897e-01 | val acc: 8.109e-01 | val graph: 5.360e-01 | test node: 8.028e-01 | test graph: 5.310e-01
1201 | 0.66s | train acc: 9.871e-01 | val acc: 8.088e-01 | val graph: 5.340e-01 | test node: 8.007e-01 | test graph: 5.320e-01
1401 | 0.64s | train acc: 9.897e-01 | val acc: 8.150e-01 | val graph: 5.540e-01 | test node: 8.033e-01 | test graph: 5.350e-01
1601 | 0.66s | train acc: 9.884e-01 | val acc: 8.092e-01 | val graph: 5.400e-01 | test node: 7.994e-01 | test graph: 5.340e-01
1801 | 0.65s | train acc: 9.884e-01 | val acc: 8.060e-01 | val graph: 5.280e-01 | test node: 7.944e-01 | test graph: 5.230e-01
2001 | 0.66s | train acc: 9.871e-01 | val acc: 8.047e-01 | val graph: 5.300e-01 | test node: 7.931e-01 | test graph: 5.220e-01
2201 | 0.65s | train acc: 9.871e-01 | val acc: 7.937e-01 | val graph: 5.020e-01 | test node: 7.865e-01 | test graph: 5.110e-01
2401 | 0.54s | train acc: 9.884e-01 | val acc: 8.002e-01 | val graph: 5.220e-01 | test node: 7.901e-01 | test graph: 5.150e-01
2601 | 0.54s | train acc: 9.884e-01 | val acc: 7.896e-01 | val graph: 5.020e-01 | test node: 7.816e-01 | test graph: 5.080e-01
2801 | 0.65s | train acc: 9.884e-01 | val acc: 7.933e-01 | val graph: 4.980e-01 | test node: 7.795e-01 | test graph: 5.020e-01
3001 | 0.65s | train acc: 9.884e-01 | val acc: 7.859e-01 | val graph: 4.900e-01 | test node: 7.765e-01 | test graph: 5.000e-01
3201 | 0.64s | train acc: 9.884e-01 | val acc: 7.778e-01 | val graph: 4.920e-01 | test node: 7.753e-01 | test graph: 4.980e-01
3401 | 0.67s | train acc: 9.897e-01 | val acc: 7.774e-01 | val graph: 4.780e-01 | test node: 7.744e-01 | test graph: 5.020e-01
3601 | 0.65s | train acc: 9.910e-01 | val acc: 7.766e-01 | val graph: 4.880e-01 | test node: 7.755e-01 | test graph: 5.020e-01
3801 | 0.64s | train acc: 9.910e-01 | val acc: 7.806e-01 | val graph: 4.980e-01 | test node: 7.778e-01 | test graph: 5.090e-01
4001 | 0.66s | train acc: 9.910e-01 | val acc: 7.790e-01 | val graph: 4.840e-01 | test node: 7.695e-01 | test graph: 4.950e-01
4201 | 0.64s | train acc: 9.936e-01 | val acc: 7.798e-01 | val graph: 4.920e-01 | test node: 7.736e-01 | test graph: 4.970e-01
