Feb14-04:16:04
----------------------------------------------------------------------------------------------------
[cora]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.001 unweighted_MSE=False diffusion_steps=40 schedule=True weight_decay=0.001 cat=False skip=False
nhid=64 layers=4 linears=2
----------------------------------------------------------------------------------------------------
001 | 0.92s | train acc: 1.003e-01 | val acc: 5.065e-02 | val graph: 3.400e-02 | test node: 6.515e-02 | test graph: 3.400e-02
101 | 0.24s | train acc: 1.260e-01 | val acc: 1.495e-01 | val graph: 1.180e-01 | test node: 1.592e-01 | test graph: 1.110e-01
201 | 0.24s | train acc: 2.172e-01 | val acc: 1.475e-01 | val graph: 7.400e-02 | test node: 1.509e-01 | test graph: 7.500e-02
301 | 0.24s | train acc: 5.373e-01 | val acc: 4.796e-01 | val graph: 2.920e-01 | test node: 4.892e-01 | test graph: 3.230e-01
401 | 0.25s | train acc: 8.406e-01 | val acc: 6.650e-01 | val graph: 4.740e-01 | test node: 6.914e-01 | test graph: 5.030e-01
501 | 0.25s | train acc: 8.689e-01 | val acc: 7.377e-01 | val graph: 5.260e-01 | test node: 7.415e-01 | test graph: 5.340e-01
601 | 0.25s | train acc: 8.920e-01 | val acc: 7.504e-01 | val graph: 5.300e-01 | test node: 7.604e-01 | test graph: 5.520e-01
701 | 0.25s | train acc: 9.126e-01 | val acc: 7.819e-01 | val graph: 5.500e-01 | test node: 8.009e-01 | test graph: 5.750e-01
801 | 0.25s | train acc: 9.216e-01 | val acc: 7.819e-01 | val graph: 5.480e-01 | test node: 7.937e-01 | test graph: 5.650e-01
901 | 0.25s | train acc: 9.473e-01 | val acc: 7.843e-01 | val graph: 5.580e-01 | test node: 7.941e-01 | test graph: 5.720e-01
1001 | 0.25s | train acc: 9.679e-01 | val acc: 8.002e-01 | val graph: 5.560e-01 | test node: 8.105e-01 | test graph: 5.720e-01
1101 | 0.26s | train acc: 9.769e-01 | val acc: 7.921e-01 | val graph: 5.520e-01 | test node: 7.967e-01 | test graph: 5.590e-01
1201 | 0.26s | train acc: 9.949e-01 | val acc: 8.284e-01 | val graph: 5.880e-01 | test node: 8.270e-01 | test graph: 5.920e-01
1301 | 0.25s | train acc: 9.987e-01 | val acc: 8.231e-01 | val graph: 5.760e-01 | test node: 8.230e-01 | test graph: 5.900e-01
1401 | 0.25s | train acc: 9.987e-01 | val acc: 8.186e-01 | val graph: 5.640e-01 | test node: 8.171e-01 | test graph: 5.790e-01
1501 | 0.25s | train acc: 1.000e+00 | val acc: 8.137e-01 | val graph: 5.480e-01 | test node: 8.162e-01 | test graph: 5.810e-01
1601 | 0.25s | train acc: 1.000e+00 | val acc: 8.297e-01 | val graph: 5.740e-01 | test node: 8.287e-01 | test graph: 5.900e-01
1701 | 0.25s | train acc: 1.000e+00 | val acc: 8.207e-01 | val graph: 5.620e-01 | test node: 8.202e-01 | test graph: 5.830e-01
1801 | 0.24s | train acc: 1.000e+00 | val acc: 8.280e-01 | val graph: 5.640e-01 | test node: 8.279e-01 | test graph: 5.840e-01
1901 | 0.25s | train acc: 1.000e+00 | val acc: 8.248e-01 | val graph: 5.620e-01 | test node: 8.304e-01 | test graph: 5.850e-01
2001 | 0.24s | train acc: 1.000e+00 | val acc: 8.207e-01 | val graph: 5.620e-01 | test node: 8.137e-01 | test graph: 5.660e-01
2101 | 0.25s | train acc: 1.000e+00 | val acc: 8.211e-01 | val graph: 5.600e-01 | test node: 8.194e-01 | test graph: 5.750e-01
2201 | 0.24s | train acc: 1.000e+00 | val acc: 7.904e-01 | val graph: 5.220e-01 | test node: 7.946e-01 | test graph: 5.360e-01
2301 | 0.24s | train acc: 1.000e+00 | val acc: 8.252e-01 | val graph: 5.640e-01 | test node: 8.207e-01 | test graph: 5.750e-01
2401 | 0.26s | train acc: 1.000e+00 | val acc: 8.252e-01 | val graph: 5.620e-01 | test node: 8.258e-01 | test graph: 5.820e-01
2501 | 0.25s | train acc: 1.000e+00 | val acc: 8.256e-01 | val graph: 5.660e-01 | test node: 8.306e-01 | test graph: 5.800e-01
2601 | 0.25s | train acc: 1.000e+00 | val acc: 8.317e-01 | val graph: 5.800e-01 | test node: 8.315e-01 | test graph: 5.840e-01
2701 | 0.24s | train acc: 1.000e+00 | val acc: 8.141e-01 | val graph: 5.620e-01 | test node: 8.196e-01 | test graph: 5.730e-01
