Feb08-04:09:02
----------------------------------------------------------------------------------------------------
[pubmed]   seed=122
----------------------------------------------------------------------------------------------------
lr=0.001 schedule=True ema=0.999 weight_decay=0.003cat=False skip=Falseepochs=30000 reduce=False eps=1e-05
nhid=16 layers=2 linears=2
----------------------------------------------------------------------------------------------------
001 | 1.34s | train acc: 3.221e-01 | val acc: 1.835e-01 | val graph: 1.200e-01 | test node: 1.639e-01 | test graph: 8.900e-02
201 | 0.64s | train acc: 3.501e-01 | val acc: 3.836e-01 | val graph: 1.580e-01 | test node: 3.803e-01 | test graph: 1.580e-01
401 | 0.64s | train acc: 3.445e-01 | val acc: 4.206e-01 | val graph: 1.420e-01 | test node: 4.311e-01 | test graph: 1.530e-01
601 | 0.64s | train acc: 3.501e-01 | val acc: 4.151e-01 | val graph: 2.120e-01 | test node: 4.157e-01 | test graph: 1.980e-01
801 | 0.65s | train acc: 3.249e-01 | val acc: 1.853e-01 | val graph: 1.200e-01 | test node: 1.685e-01 | test graph: 8.800e-02
1001 | 0.65s | train acc: 3.221e-01 | val acc: 1.835e-01 | val graph: 1.200e-01 | test node: 1.639e-01 | test graph: 8.900e-02
1201 | 0.64s | train acc: 3.221e-01 | val acc: 1.835e-01 | val graph: 1.200e-01 | test node: 1.639e-01 | test graph: 8.900e-02
1401 | 0.64s | train acc: 3.221e-01 | val acc: 1.835e-01 | val graph: 1.200e-01 | test node: 1.639e-01 | test graph: 8.900e-02
1601 | 0.64s | train acc: 3.221e-01 | val acc: 1.835e-01 | val graph: 1.200e-01 | test node: 1.639e-01 | test graph: 8.900e-02
1801 | 0.65s | train acc: 3.221e-01 | val acc: 1.835e-01 | val graph: 1.200e-01 | test node: 1.639e-01 | test graph: 8.900e-02
2001 | 0.64s | train acc: 3.221e-01 | val acc: 1.835e-01 | val graph: 1.200e-01 | test node: 1.639e-01 | test graph: 8.900e-02
2201 | 0.65s | train acc: 3.221e-01 | val acc: 1.835e-01 | val graph: 1.200e-01 | test node: 1.639e-01 | test graph: 8.900e-02
2401 | 0.64s | train acc: 3.445e-01 | val acc: 4.269e-01 | val graph: 2.580e-01 | test node: 4.297e-01 | test graph: 2.360e-01
2601 | 0.63s | train acc: 3.389e-01 | val acc: 4.266e-01 | val graph: 2.540e-01 | test node: 4.286e-01 | test graph: 2.340e-01
2801 | 0.64s | train acc: 3.473e-01 | val acc: 4.225e-01 | val graph: 2.420e-01 | test node: 4.233e-01 | test graph: 2.160e-01
3001 | 0.64s | train acc: 3.221e-01 | val acc: 1.835e-01 | val graph: 1.200e-01 | test node: 1.639e-01 | test graph: 8.900e-02
3201 | 0.64s | train acc: 3.221e-01 | val acc: 1.835e-01 | val graph: 1.200e-01 | test node: 1.639e-01 | test graph: 8.900e-02
3401 | 0.53s | train acc: 4.482e-01 | val acc: 4.199e-01 | val graph: 9.200e-02 | test node: 4.031e-01 | test graph: 7.900e-02
3601 | 0.53s | train acc: 3.838e-01 | val acc: 3.356e-01 | val graph: 1.160e-01 | test node: 3.265e-01 | test graph: 8.700e-02
3801 | 0.65s | train acc: 4.034e-01 | val acc: 3.056e-01 | val graph: 1.180e-01 | test node: 3.074e-01 | test graph: 8.900e-02
4001 | 0.65s | train acc: 3.389e-01 | val acc: 3.814e-01 | val graph: 2.720e-01 | test node: 3.983e-01 | test graph: 2.880e-01
4201 | 0.65s | train acc: 3.894e-01 | val acc: 2.708e-01 | val graph: 1.180e-01 | test node: 2.550e-01 | test graph: 8.900e-02
4401 | 0.66s | train acc: 3.473e-01 | val acc: 4.295e-01 | val graph: 2.640e-01 | test node: 4.302e-01 | test graph: 2.380e-01
4601 | 0.65s | train acc: 3.473e-01 | val acc: 4.299e-01 | val graph: 2.660e-01 | test node: 4.306e-01 | test graph: 2.380e-01
4801 | 0.66s | train acc: 3.445e-01 | val acc: 4.325e-01 | val graph: 2.720e-01 | test node: 4.327e-01 | test graph: 2.480e-01
5001 | 0.65s | train acc: 3.417e-01 | val acc: 4.354e-01 | val graph: 2.900e-01 | test node: 4.377e-01 | test graph: 2.590e-01
5201 | 0.65s | train acc: 4.538e-01 | val acc: 4.310e-01 | val graph: 1.580e-01 | test node: 4.286e-01 | test graph: 1.580e-01
5401 | 0.65s | train acc: 3.417e-01 | val acc: 3.711e-01 | val graph: 2.400e-01 | test node: 3.883e-01 | test graph: 2.550e-01
5601 | 0.65s | train acc: 4.566e-01 | val acc: 3.892e-01 | val graph: 1.200e-01 | test node: 3.727e-01 | test graph: 1.020e-01
5801 | 0.65s | train acc: 3.417e-01 | val acc: 3.718e-01 | val graph: 2.440e-01 | test node: 3.901e-01 | test graph: 2.590e-01
6001 | 0.65s | train acc: 4.258e-01 | val acc: 4.480e-01 | val graph: 2.580e-01 | test node: 4.502e-01 | test graph: 2.500e-01
6201 | 0.65s | train acc: 3.417e-01 | val acc: 3.729e-01 | val graph: 2.540e-01 | test node: 3.911e-01 | test graph: 2.620e-01
6401 | 0.64s | train acc: 3.417e-01 | val acc: 3.711e-01 | val graph: 2.400e-01 | test node: 3.892e-01 | test graph: 2.540e-01
6601 | 0.64s | train acc: 4.902e-01 | val acc: 4.835e-01 | val graph: 2.360e-01 | test node: 5.047e-01 | test graph: 2.430e-01
6801 | 0.65s | train acc: 5.042e-01 | val acc: 5.361e-01 | val graph: 2.560e-01 | test node: 5.584e-01 | test graph: 2.870e-01
7001 | 0.65s | train acc: 3.922e-01 | val acc: 2.882e-01 | val graph: 1.140e-01 | test node: 2.724e-01 | test graph: 8.500e-02
7201 | 0.65s | train acc: 3.389e-01 | val acc: 3.811e-01 | val graph: 2.720e-01 | test node: 3.977e-01 | test graph: 2.840e-01
7401 | 0.65s | train acc: 3.725e-01 | val acc: 3.792e-01 | val graph: 2.060e-01 | test node: 3.821e-01 | test graph: 1.910e-01
7601 | 0.65s | train acc: 3.417e-01 | val acc: 3.722e-01 | val graph: 2.400e-01 | test node: 3.881e-01 | test graph: 2.530e-01
7801 | 0.64s | train acc: 3.389e-01 | val acc: 3.803e-01 | val graph: 2.720e-01 | test node: 3.956e-01 | test graph: 2.820e-01
8001 | 0.64s | train acc: 3.417e-01 | val acc: 3.811e-01 | val graph: 2.720e-01 | test node: 3.977e-01 | test graph: 2.840e-01
8201 | 0.65s | train acc: 3.389e-01 | val acc: 3.792e-01 | val graph: 2.660e-01 | test node: 3.943e-01 | test graph: 2.780e-01
8401 | 0.53s | train acc: 3.389e-01 | val acc: 3.825e-01 | val graph: 2.720e-01 | test node: 3.970e-01 | test graph: 2.830e-01
8601 | 0.53s | train acc: 3.417e-01 | val acc: 3.748e-01 | val graph: 2.560e-01 | test node: 3.926e-01 | test graph: 2.690e-01
8801 | 0.64s | train acc: 3.725e-01 | val acc: 2.457e-01 | val graph: 1.180e-01 | test node: 2.266e-01 | test graph: 8.900e-02
9001 | 0.64s | train acc: 3.389e-01 | val acc: 3.814e-01 | val graph: 2.720e-01 | test node: 3.983e-01 | test graph: 2.880e-01
