Feb14-04:04:31
----------------------------------------------------------------------------------------------------
[pubmed]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.0005 unweighted_MSE=True diffusion_steps=80 schedule=True weight_decay=0.001 cat=False skip=False
nhid=64 layers=4 linears=2
----------------------------------------------------------------------------------------------------
001 | 1.11s | train acc: 3.389e-01 | val acc: 3.814e-01 | val graph: 2.720e-01 | test node: 3.983e-01 | test graph: 2.880e-01
101 | 0.44s | train acc: 7.395e-01 | val acc: 5.953e-01 | val graph: 3.880e-01 | test node: 5.566e-01 | test graph: 3.850e-01
201 | 0.45s | train acc: 8.824e-01 | val acc: 7.928e-01 | val graph: 5.520e-01 | test node: 7.530e-01 | test graph: 4.990e-01
301 | 0.45s | train acc: 9.832e-01 | val acc: 7.932e-01 | val graph: 5.080e-01 | test node: 7.716e-01 | test graph: 4.770e-01
401 | 0.45s | train acc: 1.000e+00 | val acc: 7.843e-01 | val graph: 4.800e-01 | test node: 7.539e-01 | test graph: 4.560e-01
501 | 0.45s | train acc: 1.000e+00 | val acc: 7.910e-01 | val graph: 4.980e-01 | test node: 7.565e-01 | test graph: 4.590e-01
601 | 0.47s | train acc: 1.000e+00 | val acc: 7.884e-01 | val graph: 4.920e-01 | test node: 7.551e-01 | test graph: 4.530e-01
701 | 0.45s | train acc: 1.000e+00 | val acc: 7.950e-01 | val graph: 4.960e-01 | test node: 7.576e-01 | test graph: 4.570e-01
801 | 0.45s | train acc: 1.000e+00 | val acc: 7.917e-01 | val graph: 4.920e-01 | test node: 7.572e-01 | test graph: 4.530e-01
901 | 0.45s | train acc: 1.000e+00 | val acc: 7.910e-01 | val graph: 4.920e-01 | test node: 7.555e-01 | test graph: 4.510e-01
1001 | 0.45s | train acc: 1.000e+00 | val acc: 7.950e-01 | val graph: 5.020e-01 | test node: 7.603e-01 | test graph: 4.590e-01
1101 | 0.45s | train acc: 1.000e+00 | val acc: 7.943e-01 | val graph: 4.920e-01 | test node: 7.587e-01 | test graph: 4.570e-01
1201 | 0.46s | train acc: 1.000e+00 | val acc: 7.917e-01 | val graph: 5.020e-01 | test node: 7.615e-01 | test graph: 4.610e-01
1301 | 0.44s | train acc: 1.000e+00 | val acc: 7.950e-01 | val graph: 4.960e-01 | test node: 7.624e-01 | test graph: 4.650e-01
1401 | 0.45s | train acc: 1.000e+00 | val acc: 7.902e-01 | val graph: 4.920e-01 | test node: 7.521e-01 | test graph: 4.510e-01
1501 | 0.45s | train acc: 1.000e+00 | val acc: 7.910e-01 | val graph: 4.900e-01 | test node: 7.496e-01 | test graph: 4.490e-01
1601 | 0.46s | train acc: 1.000e+00 | val acc: 7.936e-01 | val graph: 4.960e-01 | test node: 7.599e-01 | test graph: 4.590e-01
1701 | 0.46s | train acc: 1.000e+00 | val acc: 7.906e-01 | val graph: 4.900e-01 | test node: 7.542e-01 | test graph: 4.520e-01
1801 | 0.45s | train acc: 1.000e+00 | val acc: 7.888e-01 | val graph: 4.840e-01 | test node: 7.578e-01 | test graph: 4.510e-01
1901 | 0.46s | train acc: 1.000e+00 | val acc: 7.962e-01 | val graph: 4.960e-01 | test node: 7.613e-01 | test graph: 4.570e-01
2001 | 0.45s | train acc: 1.000e+00 | val acc: 7.936e-01 | val graph: 4.960e-01 | test node: 7.610e-01 | test graph: 4.590e-01
2101 | 0.45s | train acc: 1.000e+00 | val acc: 7.958e-01 | val graph: 4.940e-01 | test node: 7.640e-01 | test graph: 4.610e-01
2201 | 0.45s | train acc: 1.000e+00 | val acc: 7.925e-01 | val graph: 4.860e-01 | test node: 7.612e-01 | test graph: 4.540e-01
2301 | 0.45s | train acc: 1.000e+00 | val acc: 7.906e-01 | val graph: 4.800e-01 | test node: 7.606e-01 | test graph: 4.500e-01
2401 | 0.45s | train acc: 1.000e+00 | val acc: 7.936e-01 | val graph: 4.940e-01 | test node: 7.647e-01 | test graph: 4.640e-01
2501 | 0.44s | train acc: 1.000e+00 | val acc: 7.950e-01 | val graph: 4.880e-01 | test node: 7.640e-01 | test graph: 4.660e-01
2601 | 0.45s | train acc: 1.000e+00 | val acc: 7.980e-01 | val graph: 4.980e-01 | test node: 7.659e-01 | test graph: 4.660e-01
2701 | 0.44s | train acc: 1.000e+00 | val acc: 7.947e-01 | val graph: 4.880e-01 | test node: 7.603e-01 | test graph: 4.510e-01
2801 | 0.44s | train acc: 1.000e+00 | val acc: 7.943e-01 | val graph: 4.880e-01 | test node: 7.658e-01 | test graph: 4.610e-01
2901 | 0.45s | train acc: 1.000e+00 | val acc: 7.958e-01 | val graph: 4.920e-01 | test node: 7.640e-01 | test graph: 4.600e-01
3001 | 0.45s | train acc: 1.000e+00 | val acc: 7.943e-01 | val graph: 4.840e-01 | test node: 7.644e-01 | test graph: 4.610e-01
3101 | 0.45s | train acc: 1.000e+00 | val acc: 7.910e-01 | val graph: 4.860e-01 | test node: 7.649e-01 | test graph: 4.680e-01
3201 | 0.45s | train acc: 1.000e+00 | val acc: 7.950e-01 | val graph: 4.900e-01 | test node: 7.640e-01 | test graph: 4.610e-01
3301 | 0.45s | train acc: 1.000e+00 | val acc: 7.943e-01 | val graph: 4.880e-01 | test node: 7.597e-01 | test graph: 4.500e-01
3401 | 0.46s | train acc: 1.000e+00 | val acc: 7.858e-01 | val graph: 4.820e-01 | test node: 7.644e-01 | test graph: 4.580e-01
3501 | 0.45s | train acc: 1.000e+00 | val acc: 7.950e-01 | val graph: 4.840e-01 | test node: 7.601e-01 | test graph: 4.530e-01
3601 | 0.45s | train acc: 1.000e+00 | val acc: 7.973e-01 | val graph: 4.880e-01 | test node: 7.612e-01 | test graph: 4.540e-01
3701 | 0.45s | train acc: 1.000e+00 | val acc: 7.969e-01 | val graph: 4.840e-01 | test node: 7.594e-01 | test graph: 4.490e-01
3801 | 0.45s | train acc: 1.000e+00 | val acc: 7.980e-01 | val graph: 4.940e-01 | test node: 7.633e-01 | test graph: 4.550e-01
3901 | 0.45s | train acc: 1.000e+00 | val acc: 7.858e-01 | val graph: 4.800e-01 | test node: 7.649e-01 | test graph: 4.620e-01
4001 | 0.45s | train acc: 1.000e+00 | val acc: 7.902e-01 | val graph: 4.840e-01 | test node: 7.658e-01 | test graph: 4.640e-01
