Feb14-06:24:01
----------------------------------------------------------------------------------------------------
[Cornell]   seed=0
----------------------------------------------------------------------------------------------------
lr=0.001 diffusion_steps=80 temperature=0.3 schedule=True weight_decay=0.01  skip=False load start=1000
nhid=8 layers=1 linears=1
----------------------------------------------------------------------------------------------------
051 | 0.42s | train acc: 2.874e-01 | val acc: 2.881e-01 | test acc: 2.703e-01
101 | 0.50s | train acc: 4.253e-01 | val acc: 2.373e-01 | test acc: 3.243e-01
151 | 0.50s | train acc: 3.448e-01 | val acc: 2.373e-01 | test acc: 3.243e-01
201 | 0.40s | train acc: 4.023e-01 | val acc: 2.034e-01 | test acc: 3.514e-01
251 | 0.43s | train acc: 4.253e-01 | val acc: 4.237e-01 | test acc: 3.784e-01
301 | 0.37s | train acc: 5.172e-01 | val acc: 4.915e-01 | test acc: 5.135e-01
351 | 0.42s | train acc: 4.828e-01 | val acc: 4.915e-01 | test acc: 4.865e-01
401 | 0.36s | train acc: 4.943e-01 | val acc: 4.237e-01 | test acc: 5.405e-01
451 | 0.37s | train acc: 5.172e-01 | val acc: 4.746e-01 | test acc: 5.676e-01
501 | 0.37s | train acc: 7.471e-01 | val acc: 4.746e-01 | test acc: 5.405e-01
551 | 0.39s | train acc: 7.931e-01 | val acc: 6.102e-01 | test acc: 5.946e-01
601 | 0.37s | train acc: 9.080e-01 | val acc: 5.932e-01 | test acc: 5.676e-01
651 | 0.37s | train acc: 9.425e-01 | val acc: 5.932e-01 | test acc: 5.676e-01
701 | 0.39s | train acc: 9.540e-01 | val acc: 5.932e-01 | test acc: 6.216e-01
751 | 0.36s | train acc: 9.770e-01 | val acc: 5.932e-01 | test acc: 5.946e-01
801 | 0.42s | train acc: 9.885e-01 | val acc: 6.441e-01 | test acc: 5.946e-01
851 | 0.38s | train acc: 1.000e+00 | val acc: 6.271e-01 | test acc: 5.676e-01
901 | 0.36s | train acc: 1.000e+00 | val acc: 5.763e-01 | test acc: 6.216e-01
951 | 0.45s | train acc: 9.885e-01 | val acc: 5.763e-01 | test acc: 6.216e-01
1001 | 0.39s | train acc: 9.885e-01 | val acc: 6.441e-01 | test acc: 6.216e-01
1051 | 0.70s | train acc: 9.770e-01 | val acc: 5.932e-01 | test acc: 5.946e-01
1101 | 0.65s | train acc: 9.655e-01 | val acc: 6.102e-01 | test acc: 5.676e-01
1151 | 0.61s | train acc: 9.885e-01 | val acc: 5.932e-01 | test acc: 5.946e-01
1201 | 0.62s | train acc: 9.655e-01 | val acc: 6.102e-01 | test acc: 5.946e-01
1251 | 0.61s | train acc: 9.655e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
1301 | 0.68s | train acc: 9.885e-01 | val acc: 6.441e-01 | test acc: 5.946e-01
1351 | 0.64s | train acc: 9.770e-01 | val acc: 6.271e-01 | test acc: 5.946e-01
1401 | 0.64s | train acc: 9.770e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
1451 | 0.60s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
1501 | 0.63s | train acc: 9.770e-01 | val acc: 6.271e-01 | test acc: 5.946e-01
1551 | 0.65s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
1601 | 0.63s | train acc: 9.770e-01 | val acc: 6.271e-01 | test acc: 5.946e-01
1651 | 0.60s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
1701 | 0.62s | train acc: 9.770e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
1751 | 0.61s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
1801 | 0.71s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
1851 | 0.65s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
1901 | 0.64s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
1951 | 0.66s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
2001 | 0.68s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
2051 | 0.63s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
2101 | 0.71s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
2151 | 0.64s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.946e-01
2201 | 0.62s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
2251 | 0.67s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
2301 | 0.63s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
2351 | 0.88s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
2401 | 0.88s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
2451 | 0.62s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
2501 | 0.67s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
2551 | 0.63s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
2601 | 0.75s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
2651 | 0.63s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
2701 | 0.70s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
2751 | 0.63s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
