Feb14-05:53:40
----------------------------------------------------------------------------------------------------
[Photo]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.0005 diffusion_steps=80 temperature=0.1 schedule=True weight_decay=0.0001  skip=False load start=2000
nhid=16 layers=2 linears=1
----------------------------------------------------------------------------------------------------
101 | 1.11s | train acc: 3.500e-01 | val acc: 3.333e-01 | test acc: 3.003e-01
201 | 1.10s | train acc: 1.813e-01 | val acc: 1.792e-01 | test acc: 1.655e-01
301 | 1.12s | train acc: 2.000e-01 | val acc: 1.458e-01 | test acc: 1.190e-01
401 | 1.10s | train acc: 1.938e-01 | val acc: 2.000e-01 | test acc: 2.194e-01
501 | 1.12s | train acc: 3.875e-01 | val acc: 3.292e-01 | test acc: 3.909e-01
601 | 1.17s | train acc: 5.312e-01 | val acc: 3.583e-01 | test acc: 4.448e-01
701 | 1.11s | train acc: 5.938e-01 | val acc: 3.500e-01 | test acc: 4.527e-01
801 | 1.13s | train acc: 7.438e-01 | val acc: 4.250e-01 | test acc: 5.145e-01
901 | 1.11s | train acc: 7.750e-01 | val acc: 4.667e-01 | test acc: 5.512e-01
1001 | 1.13s | train acc: 8.188e-01 | val acc: 5.042e-01 | test acc: 5.681e-01
1101 | 1.15s | train acc: 8.625e-01 | val acc: 5.375e-01 | test acc: 6.159e-01
1201 | 1.11s | train acc: 9.250e-01 | val acc: 6.292e-01 | test acc: 7.072e-01
1301 | 1.16s | train acc: 9.625e-01 | val acc: 7.833e-01 | test acc: 8.143e-01
1401 | 1.16s | train acc: 9.938e-01 | val acc: 8.833e-01 | test acc: 8.926e-01
1501 | 1.13s | train acc: 9.938e-01 | val acc: 9.208e-01 | test acc: 9.077e-01
1601 | 1.17s | train acc: 1.000e+00 | val acc: 9.208e-01 | test acc: 9.153e-01
1701 | 1.14s | train acc: 9.938e-01 | val acc: 9.333e-01 | test acc: 9.149e-01
1801 | 1.12s | train acc: 9.938e-01 | val acc: 9.333e-01 | test acc: 9.164e-01
1901 | 1.11s | train acc: 1.000e+00 | val acc: 9.375e-01 | test acc: 9.197e-01
2001 | 1.14s | train acc: 1.000e+00 | val acc: 9.250e-01 | test acc: 9.170e-01
2101 | 4.21s | train acc: 1.000e+00 | val acc: 9.375e-01 | test acc: 9.201e-01
2201 | 4.25s | train acc: 1.000e+00 | val acc: 9.333e-01 | test acc: 9.210e-01
2301 | 4.22s | train acc: 1.000e+00 | val acc: 9.250e-01 | test acc: 9.193e-01
2401 | 4.30s | train acc: 1.000e+00 | val acc: 9.333e-01 | test acc: 9.193e-01
2501 | 4.22s | train acc: 1.000e+00 | val acc: 9.333e-01 | test acc: 9.201e-01
2601 | 4.24s | train acc: 1.000e+00 | val acc: 9.333e-01 | test acc: 9.188e-01
2701 | 4.30s | train acc: 1.000e+00 | val acc: 9.375e-01 | test acc: 9.200e-01
2801 | 4.29s | train acc: 1.000e+00 | val acc: 9.375e-01 | test acc: 9.192e-01
2901 | 4.27s | train acc: 1.000e+00 | val acc: 9.333e-01 | test acc: 9.185e-01
