Feb14-05:10:39
----------------------------------------------------------------------------------------------------
[citeseer]   seed=0
----------------------------------------------------------------------------------------------------
lr=0.01 diffusion_steps=80 temperature=0.3 schedule=True weight_decay=0.01  skip=False load start=2000
nhid=8 layers=2 linears=1
----------------------------------------------------------------------------------------------------
101 | 0.56s | train acc: 9.667e-01 | val acc: 7.200e-01 | test acc: 7.180e-01
201 | 0.58s | train acc: 9.667e-01 | val acc: 7.180e-01 | test acc: 7.200e-01
301 | 0.65s | train acc: 9.667e-01 | val acc: 7.120e-01 | test acc: 7.230e-01
401 | 0.63s | train acc: 9.833e-01 | val acc: 7.160e-01 | test acc: 7.110e-01
501 | 0.58s | train acc: 9.750e-01 | val acc: 7.260e-01 | test acc: 7.260e-01
601 | 0.73s | train acc: 9.750e-01 | val acc: 7.180e-01 | test acc: 7.170e-01
701 | 0.76s | train acc: 9.750e-01 | val acc: 7.320e-01 | test acc: 7.100e-01
801 | 0.56s | train acc: 9.833e-01 | val acc: 7.200e-01 | test acc: 7.060e-01
901 | 0.67s | train acc: 9.833e-01 | val acc: 7.160e-01 | test acc: 7.200e-01
1001 | 0.57s | train acc: 9.750e-01 | val acc: 7.280e-01 | test acc: 7.250e-01
1101 | 0.57s | train acc: 9.667e-01 | val acc: 7.340e-01 | test acc: 7.380e-01
1201 | 0.72s | train acc: 9.750e-01 | val acc: 7.120e-01 | test acc: 7.120e-01
1301 | 0.77s | train acc: 9.667e-01 | val acc: 7.260e-01 | test acc: 7.270e-01
1401 | 0.58s | train acc: 9.750e-01 | val acc: 7.040e-01 | test acc: 7.110e-01
1501 | 0.58s | train acc: 9.833e-01 | val acc: 7.340e-01 | test acc: 7.230e-01
1601 | 0.59s | train acc: 9.667e-01 | val acc: 7.160e-01 | test acc: 7.300e-01
1701 | 0.56s | train acc: 9.833e-01 | val acc: 7.260e-01 | test acc: 7.290e-01
1801 | 0.65s | train acc: 9.833e-01 | val acc: 7.420e-01 | test acc: 7.150e-01
1901 | 0.61s | train acc: 9.500e-01 | val acc: 7.100e-01 | test acc: 7.250e-01
2001 | 0.71s | train acc: 9.667e-01 | val acc: 7.220e-01 | test acc: 7.240e-01
2101 | 1.22s | train acc: 9.667e-01 | val acc: 7.060e-01 | test acc: 7.150e-01
2201 | 1.35s | train acc: 9.833e-01 | val acc: 7.220e-01 | test acc: 7.200e-01
2301 | 1.43s | train acc: 9.750e-01 | val acc: 7.240e-01 | test acc: 7.240e-01
2401 | 1.39s | train acc: 9.833e-01 | val acc: 7.260e-01 | test acc: 7.180e-01
2501 | 1.44s | train acc: 9.750e-01 | val acc: 7.300e-01 | test acc: 7.250e-01
2601 | 1.67s | train acc: 9.833e-01 | val acc: 7.280e-01 | test acc: 7.270e-01
2701 | 1.41s | train acc: 9.750e-01 | val acc: 7.300e-01 | test acc: 7.280e-01
2801 | 1.39s | train acc: 9.833e-01 | val acc: 7.160e-01 | test acc: 7.320e-01
2901 | 1.47s | train acc: 9.750e-01 | val acc: 7.280e-01 | test acc: 7.420e-01
3001 | 1.49s | train acc: 9.667e-01 | val acc: 7.240e-01 | test acc: 7.300e-01
