Feb14-05:30:12
----------------------------------------------------------------------------------------------------
[cora]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.01 diffusion_steps=80 temperature=0.3 schedule=True weight_decay=0.01  skip=True load start=2000
nhid=8 layers=2 linears=1
----------------------------------------------------------------------------------------------------
101 | 0.62s | train acc: 1.000e+00 | val acc: 7.940e-01 | test acc: 8.180e-01
201 | 0.63s | train acc: 1.000e+00 | val acc: 7.860e-01 | test acc: 8.150e-01
301 | 0.60s | train acc: 1.000e+00 | val acc: 7.780e-01 | test acc: 8.080e-01
401 | 0.64s | train acc: 1.000e+00 | val acc: 7.780e-01 | test acc: 8.170e-01
501 | 0.62s | train acc: 1.000e+00 | val acc: 8.060e-01 | test acc: 8.150e-01
601 | 0.66s | train acc: 1.000e+00 | val acc: 7.880e-01 | test acc: 8.230e-01
701 | 0.79s | train acc: 1.000e+00 | val acc: 7.700e-01 | test acc: 8.090e-01
801 | 0.63s | train acc: 1.000e+00 | val acc: 7.920e-01 | test acc: 8.240e-01
901 | 0.60s | train acc: 1.000e+00 | val acc: 7.960e-01 | test acc: 8.040e-01
1001 | 0.63s | train acc: 1.000e+00 | val acc: 7.800e-01 | test acc: 8.230e-01
1101 | 0.74s | train acc: 1.000e+00 | val acc: 7.900e-01 | test acc: 8.130e-01
1201 | 0.69s | train acc: 1.000e+00 | val acc: 7.880e-01 | test acc: 8.170e-01
1301 | 0.72s | train acc: 1.000e+00 | val acc: 7.980e-01 | test acc: 8.240e-01
1401 | 0.62s | train acc: 1.000e+00 | val acc: 7.920e-01 | test acc: 8.210e-01
1501 | 0.64s | train acc: 1.000e+00 | val acc: 7.820e-01 | test acc: 8.190e-01
1601 | 0.61s | train acc: 1.000e+00 | val acc: 7.880e-01 | test acc: 8.270e-01
1701 | 0.59s | train acc: 1.000e+00 | val acc: 7.820e-01 | test acc: 8.120e-01
1801 | 0.70s | train acc: 1.000e+00 | val acc: 8.040e-01 | test acc: 8.170e-01
1901 | 0.65s | train acc: 1.000e+00 | val acc: 7.820e-01 | test acc: 8.240e-01
2001 | 0.66s | train acc: 1.000e+00 | val acc: 7.880e-01 | test acc: 8.150e-01
2101 | 1.16s | train acc: 1.000e+00 | val acc: 7.980e-01 | test acc: 8.140e-01
2201 | 1.13s | train acc: 1.000e+00 | val acc: 7.940e-01 | test acc: 8.190e-01
2301 | 1.17s | train acc: 1.000e+00 | val acc: 7.820e-01 | test acc: 8.170e-01
2401 | 1.32s | train acc: 1.000e+00 | val acc: 7.940e-01 | test acc: 8.180e-01
2501 | 1.11s | train acc: 1.000e+00 | val acc: 7.900e-01 | test acc: 8.190e-01
2601 | 1.17s | train acc: 1.000e+00 | val acc: 8.040e-01 | test acc: 8.290e-01
2701 | 1.16s | train acc: 1.000e+00 | val acc: 7.920e-01 | test acc: 8.330e-01
2801 | 1.19s | train acc: 1.000e+00 | val acc: 7.960e-01 | test acc: 8.270e-01
2901 | 1.12s | train acc: 1.000e+00 | val acc: 7.860e-01 | test acc: 8.180e-01
3001 | 1.16s | train acc: 1.000e+00 | val acc: 8.180e-01 | test acc: 8.340e-01
3101 | 1.13s | train acc: 1.000e+00 | val acc: 8.040e-01 | test acc: 8.260e-01
3201 | 1.13s | train acc: 1.000e+00 | val acc: 8.040e-01 | test acc: 8.220e-01
3301 | 1.15s | train acc: 1.000e+00 | val acc: 8.100e-01 | test acc: 8.390e-01
3401 | 1.14s | train acc: 1.000e+00 | val acc: 8.120e-01 | test acc: 8.340e-01
3501 | 1.11s | train acc: 1.000e+00 | val acc: 7.980e-01 | test acc: 8.340e-01
3601 | 1.14s | train acc: 1.000e+00 | val acc: 8.060e-01 | test acc: 8.290e-01
3701 | 1.09s | train acc: 1.000e+00 | val acc: 8.080e-01 | test acc: 8.390e-01
3801 | 1.23s | train acc: 1.000e+00 | val acc: 8.220e-01 | test acc: 8.440e-01
3901 | 1.13s | train acc: 1.000e+00 | val acc: 8.060e-01 | test acc: 8.460e-01
4001 | 1.43s | train acc: 1.000e+00 | val acc: 8.120e-01 | test acc: 8.400e-01
4101 | 1.09s | train acc: 1.000e+00 | val acc: 8.040e-01 | test acc: 8.420e-01
4201 | 1.13s | train acc: 1.000e+00 | val acc: 7.980e-01 | test acc: 8.380e-01
4301 | 1.08s | train acc: 1.000e+00 | val acc: 8.020e-01 | test acc: 8.340e-01
4401 | 1.13s | train acc: 1.000e+00 | val acc: 8.160e-01 | test acc: 8.390e-01
4501 | 1.11s | train acc: 1.000e+00 | val acc: 7.920e-01 | test acc: 8.390e-01
4601 | 1.13s | train acc: 1.000e+00 | val acc: 8.020e-01 | test acc: 8.380e-01
4701 | 1.14s | train acc: 1.000e+00 | val acc: 8.180e-01 | test acc: 8.430e-01
4801 | 1.15s | train acc: 1.000e+00 | val acc: 7.960e-01 | test acc: 8.390e-01
4901 | 1.10s | train acc: 1.000e+00 | val acc: 8.120e-01 | test acc: 8.420e-01
5001 | 1.14s | train acc: 1.000e+00 | val acc: 7.960e-01 | test acc: 8.440e-01
5101 | 1.16s | train acc: 1.000e+00 | val acc: 8.100e-01 | test acc: 8.440e-01
5201 | 1.16s | train acc: 1.000e+00 | val acc: 8.080e-01 | test acc: 8.470e-01
5301 | 1.12s | train acc: 1.000e+00 | val acc: 8.120e-01 | test acc: 8.390e-01
5401 | 1.11s | train acc: 1.000e+00 | val acc: 8.000e-01 | test acc: 8.390e-01
5501 | 1.10s | train acc: 1.000e+00 | val acc: 8.180e-01 | test acc: 8.460e-01
5601 | 1.42s | train acc: 1.000e+00 | val acc: 8.100e-01 | test acc: 8.450e-01
5701 | 1.13s | train acc: 1.000e+00 | val acc: 8.040e-01 | test acc: 8.450e-01
5801 | 1.08s | train acc: 1.000e+00 | val acc: 8.060e-01 | test acc: 8.400e-01
5901 | 1.14s | train acc: 1.000e+00 | val acc: 7.980e-01 | test acc: 8.310e-01
6001 | 1.13s | train acc: 1.000e+00 | val acc: 8.020e-01 | test acc: 8.420e-01
6101 | 1.12s | train acc: 1.000e+00 | val acc: 7.980e-01 | test acc: 8.410e-01
6201 | 1.19s | train acc: 1.000e+00 | val acc: 8.120e-01 | test acc: 8.490e-01
6301 | 1.12s | train acc: 1.000e+00 | val acc: 8.080e-01 | test acc: 8.340e-01
6401 | 1.17s | train acc: 1.000e+00 | val acc: 8.020e-01 | test acc: 8.390e-01
6501 | 1.08s | train acc: 1.000e+00 | val acc: 8.200e-01 | test acc: 8.390e-01
6601 | 1.09s | train acc: 1.000e+00 | val acc: 8.000e-01 | test acc: 8.360e-01
6701 | 1.09s | train acc: 1.000e+00 | val acc: 8.080e-01 | test acc: 8.410e-01
6801 | 1.12s | train acc: 1.000e+00 | val acc: 8.060e-01 | test acc: 8.370e-01
6901 | 1.18s | train acc: 1.000e+00 | val acc: 8.100e-01 | test acc: 8.430e-01
7001 | 1.12s | train acc: 1.000e+00 | val acc: 7.980e-01 | test acc: 8.340e-01
7101 | 1.41s | train acc: 1.000e+00 | val acc: 8.080e-01 | test acc: 8.490e-01
7201 | 1.08s | train acc: 1.000e+00 | val acc: 8.080e-01 | test acc: 8.370e-01
